Front,Back
wykończony,knackered [sound:sapi5js-b1f3499b-6df11b99-c6151157-c95ef31f-ad313e30.mp3]
"struganie<div><br></div><div><img src=""paste-4efebcb57869bb878ab3a5094458a335045a4247.jpg""><br></div>",whittling [sound:sapi5js-2fbff521-0f231272-d5cdb3b6-7e94a339-6fbcfacc.mp3]
zabójstwo,manslaughter [sound:sapi5js-b140ca7a-134d6d4b-1936ff91-7295ef56-a77e3707.mp3]
trochę na full,a bit full on [sound:sapi5js-6cb3a10b-de6de2f7-c83f98f5-707ca5df-e670c6ed.mp3]
blady,palled [sound:sapi5js-c1834175-99cc5123-ab262821-d7996151-941b1046.mp3]
osobliwy,peculiar [sound:sapi5js-accb78ef-150be307-580df059-ce415fe8-7ac75bf7.mp3]
nietrzeźwy,inevriated [sound:sapi5js-8f469acf-a30716ea-617ab5bc-cb662839-eff27cce.mp3]
"Zawsze zle impossible to satisfy&nbsp;<div>unsatisfied<br><div><br></div><div><img src=""image-c3326f56034a7a3e70f9c458a0fb367accda1897.jpg""><br></div></div>",insatiable [sound:sapi5js-9ed0cfaa-08abafc9-f76aca90-6c4b4c8f-74afe760.mp3]
potargane włosy,frizzed-up hair [sound:sapi5js-383da13d-a36acb11-433687f5-b98e726c-b53a9724.mp3]
prześladować,persecuting [sound:sapi5js-88364ed8-6c0a3b1c-7c97b4b6-b2023c79-ef54b161.mp3]
zmierzch,twiling [sound:sapi5js-9b59afd3-9a34d2d2-f332ac42-56c41ea6-80418ae8.mp3]
uważaj się za odpowiedzialnego,hold yourself accountable [sound:sapi5js-0db9d9b3-4c6dd70d-69644b56-cdcc334d-86e8f012.mp3]
budować rozmach,build momentum [sound:sapi5js-046cb5ac-b516ab07-46c19f8b-5d87fc40-138dae81.mp3]
wykonalne zadanie,manageable task [sound:sapi5js-33257107-8039bc1c-488be626-1d556293-0649e601.mp3]
Plan kontynuacji,Follow-up plan [sound:sapi5js-9bf46a28-61331d90-a8446189-17ca9a97-e389a349.mp3]
Noe gikk galt,Something went wrong [sound:sapi5js-6b107f17-ef2c64a8-805ac415-535107ae-b0c8c531.mp3]
uchylać się od zapłaty,bilk [sound:sapi5js-c6e6f5d8-b03f1595-706334ae-f2399b02-550851d0.mp3]
złożyć oświadczenie,give a statement [sound:sapi5js-1e0ca7b8-1c2824db-d48249ac-8fe1cf7c-d16e1a1d.mp3]
odwołał,recanted [sound:sapi5js-fa049bae-9f4804bf-7c94da61-41b213b8-22e1a089.mp3]
trzymaj się z dala od mojej drużyny,stay off my team [sound:sapi5js-89dafced-d5d70b75-9079b31f-cb5333cc-5c587b77.mp3]
pasterz,shepherd [sound:sapi5js-ba1b5aec-5e831ce2-4196ed2e-ee6f8961-ef55ef5f.mp3]
wichrzyć,sow discord [sound:sapi5js-99e4d9e4-d36fc48a-eea7275d-62f9c35a-cb6dccf4.mp3]
"przeskoczył<div><img src=""image-af5a889d8a6fff893999c3dbdd38d8bb4a7e748f.jpg""><br></div>",leaped [sound:sapi5js-5b123823-420fbf68-90193922-bc074fa4-6679aba3.mp3]<div>Leapt</div>
dawny,former [sound:sapi5js-eb28f7a4-1fa910a2-0ced91e8-d9a5f1c8-52bcd715.mp3]
marnotrawny ale prodigy oso b uzdolniona,prodigal [sound:sapi5js-96811882-623386e9-5502c854-84055656-0638ef9f.mp3]
tandetny hoss,trashy hos [sound:sapi5js-67c3eaf4-4c45df3d-0976dd8c-3426a289-72a5eba9.mp3]
Ochrona różnorodności biologicznej,Protecting biodiversity [sound:sapi5js-20d02745-5c996278-a713c56b-48b5dd81-9be10883.mp3]
żółw,tortoise [sound:sapi5js-0e2ecf59-dd28aac2-b3ef8953-960c13e1-4cd3516f.mp3]
nooby slaby w internety,noobs [sound:sapi5js-7618cbf4-19fbe14d-05e9bc3a-4ebac29f-8051518c.mp3]
jego czas na opiekę,its time out care [sound:sapi5js-556bc498-31302d24-1c7c506b-cabf4eec-5bba0d98.mp3]
usmaż swoje koło,fry your wheel [sound:sapi5js-b7cf7191-3fc0da6d-3f47e106-232b58d1-799b06d4.mp3]
rolada Granby&#x27;ego,granby roll [sound:sapi5js-88088ff3-e84fb06e-ab3a8cbf-9de5fa71-0ffeb933.mp3]
"koziołkujący<div><img src=""paste-d745530f9b2baf61705c79e6a4ad94b06f887fff.jpg""><br></div>",tumbling [sound:sapi5js-6583474f-e3a82c3a-c2450297-cca26a89-75a01146.mp3]
potknąć się,stuble upon [sound:sapi5js-15a51b3e-56632f7a-39d636a3-577e5fa1-b14131f9.mp3]
koło wozu,cartwheel [sound:sapi5js-9d3c2a30-12140462-850b288b-dbf209b9-31f4f3a0.mp3]
logiczna,boolean [sound:sapi5js-8a8527ea-e60cc5b1-9356af42-82c1f919-6325ebe0.mp3]
"pojawiają się chłopcy<div><img src=""image-f749bd6ebc4849eda47e934d9404cc33d9a655c7.jpg""><br></div>",lads turn up [sound:sapi5js-1db7bf03-54b5f44f-9d4a32f1-de81450f-c328fbb4.mp3]
szczupła budowa,slender build [sound:sapi5js-af0b3c43-10beabbf-e1554666-e634f5b7-776aa73d.mp3]
zasobów w twojej okolicy,resources in your neck of the woods [sound:sapi5js-2be32f49-f2e1c29f-22c722b9-95ab42d6-14d80776.mp3]
"opaska zaciskająca<div><img src=""image-9cb3e687e903a4c4303a93ab57678fe3c8268b2c.jpg""><br></div><div><img src=""image-2a6abe5d2f95c8a693ca4ceca681dac70c9d5ecc.jpg""><br></div>",tourniquet [sound:sapi5js-2931848c-05e78e3f-901d25f0-c80b5a88-b2c5a3b9.mp3]
uduszenie się,asphyxiation [sound:sapi5js-db23313f-2aafcdfd-c14df890-ccae52b1-cbd66ad0.mp3]
lawina,avalanche [sound:sapi5js-49387828-fd166b9e-05594d1b-f4546170-3142ad96.mp3]
Pozbawienie z powodu uduszenia,Deprivation due to smothering [sound:sapi5js-a4d73f9b-edc8b157-34acb629-3520338d-9f3b17af.mp3]
patrz opary,see fumes [sound:sapi5js-d51eb457-a20a9dea-8a60b8d9-8dbac169-35b57464.mp3]
rura wydechowa,tailpipe [sound:sapi5js-94956885-c2d76ba6-cf3575d0-0601daad-7db9925d.mp3]
tlenek węgla,carbon monoxide [sound:sapi5js-2f99efd2-ac519360-545dcaa1-f214a000-ce063263.mp3]
surowy,ruogh [sound:sapi5js-012e4fbe-b77a390d-5d24e15b-ad421cb5-f5f42bd6.mp3]
łobuz,rogue [sound:sapi5js-96fe8a91-33fd5d6d-044945fa-aad81632-01a828b7.mp3]
"<div><br></div><img src=""image-219455cfa6ff2134b07ef39877704a4e9f8e1392.jpg"">obwód<div><img src=""image-03c4779ccd6dd199982b66f67d492435f8ffb29c.jpg""><br></div>",girth [sound:sapi5js-e244b2f4-4fc117d0-cc987384-e60100cf-602d0bc7.mp3]
mosznę i krocze,"scrotum, and perineum [sound:sapi5js-d5d6e2df-03233732-2aeab057-3f6526c4-7b62c5ee.mp3]"
"jeśli jest żółte, pozwól mu zmięknąć",if it&#x27;s yellow let it mellow [sound:sapi5js-eb4f5273-f04257fd-6afc6ca7-9e944c97-f2360ace.mp3]
umami,umami [sound:sapi5js-b8cc7af8-82306ce1-f608517b-1d297bd9-fdd56937.mp3]
oderwanie,ripping off [sound:sapi5js-cb87e44a-ce35f635-6fea197e-87e85c67-747833fd.mp3]
"dusigrosz<div><img src=""image-cfad9b36efbde3f5bdad155a3bad32d794033f9a.jpg""><br></div>",penny pincher [sound:sapi5js-597fac28-4f5e9dac-2984b5c2-43934316-50b5fb44.mp3]
"ciasto<div><img src=""image-9affc14a08c05a6fe1910e5defffb3221825aa30.jpg""><br></div>",pastry [sound:sapi5js-5fc0cbd2-662b226d-5274d853-533b0645-42dd1299.mp3]
wysoce niestabilny,highly volatile [sound:sapi5js-1526c1da-2ad31de0-6b445b66-fcabec58-db532e02.mp3]
rozmoczony,soggy [sound:sapi5js-ebef52a9-22575f97-35ea8c5c-987f9d2c-f65c319d.mp3]
mulisty,sludgy [sound:sapi5js-d1d5aca3-037d2c12-0e5cc3d9-11cbe2b7-eed99f7d.mp3]
dobrowolny,voluntary [sound:sapi5js-65ea763c-4dedba21-efc2b678-bba48f05-3fdeb1cd.mp3]
poświęcenie,devotion [sound:sapi5js-4c0ca331-acd0d840-907b88b1-8303ed8b-90f9037d.mp3]
"przewyższa<div><img src=""image-d9f7e35d1c2d5638c5b995bcdfd13794f81564f0.jpg""><br></div>",surpasses [sound:sapi5js-7d5f5952-ec386485-f6be48e6-09a8dbd5-7df0ccae.mp3]
zniekształca,distorts [sound:sapi5js-d244c8b1-4af5cef5-5cf3875d-ca3fbe5a-2e764f26.mp3]
"zbieżny lens<div><img src=""image-139023338790d1b1bed408683122e1a629b617b5.jpg""><br><div><br></div></div>",converging [sound:sapi5js-d9eb1122-b2ea23e4-6ec61b66-e5990fb5-8857c8dd.mp3]
złoczyńcy,villains [sound:sapi5js-d6b24935-53f708e3-a686e630-5899612c-6be4921f.mp3]
"oparzenie<div><img src=""image-78b5f70bbd74ffb8a6b1b9156974471727032c6a.jpg""><br></div><div><img src=""image-470d67197bec502a3cc061acd6e32694859abdad.jpg""><br></div>",scalding [sound:sapi5js-d8a51f79-d674836a-29913ba2-83ccf0b3-ea1d6959.mp3]
"chłodny<div>Letni<br><div><img src=""paste-9b099090492b326673476b4cf14a1aeba0292e05.jpg""><br></div><div>No warm no cold</div></div>",tepid [sound:sapi5js-ab731c09-4d89605b-e95b7c3c-04063e7b-031c29dd.mp3]
"poczucie give me inkling how people see world<div><img src=""image-dccbf1a99992ce730a14eda2dea178027c10ae64.jpg""><img src=""image-4e2e6d98120fcb3aa777235f5cbe5c551bf00832.jpg""><br></div><div><br></div>",inkling [sound:sapi5js-731dfa08-ea40a0c7-2168ae9d-b7c2aa6f-eca94e40.mp3]
półbłoniasty<div>&nbsp; &nbsp;Semimembranosis is <b>one of a group of muscles called the Hamstrings</b>&nbsp;&nbsp;<br></div>,semimembranosus [sound:sapi5js-cda0cfcc-96b96fc3-748e14ad-66f06df2-e1966d3e.mp3]
dał cynk,tipped off [sound:sapi5js-dd22a068-18d395db-ccfdbb55-0bf9adb9-49586480.mp3]
"obszerny<div><img src=""image-234e7276405e1d749555170864fb9c6cdf571f2f.jpg""><br></div><div><img src=""image-2166e15f81ddc2899c97bb9ad9b5c2aedb51f2fc.jpg""><br></div>",ample [sound:sapi5js-a7ae4bb6-823ea231-8d4e3986-4ee267ae-9a64858f.mp3]
"rozpocząć<div><br></div><div><img src=""paste-f9d237fb611efcf0c709e697e128288bb9368f89.jpg""><br></div>",commence [sound:sapi5js-949cd4fa-d4a491fb-76b0d473-aa919c8e-c7ab2dde.mp3]
skłonny,prone [sound:sapi5js-f20c659d-1418db14-fd95e535-53b11129-24943960.mp3]
refren,refrain [sound:sapi5js-240b44da-17f1f11a-255fbefc-b87fbcbe-0fe02a99.mp3]
zmusić<div><br></div><div>Illness<b> compelled him </b>to<b> </b>stay<b> in bed</b><br></div>,compel [sound:sapi5js-59f34a9f-182fc187-676db827-12c27d53-b153489e.mp3]
"Europejski bank centralny mówi ministrom, że niektóre banki w UE mogą być podatne na ataki voluntary",European central bank tells ministers some EU banks could be vulnerable [sound:sapi5js-430dbecd-a0ab009b-1daceabf-a185a48d-72343a25.mp3]
objął klientów #crypto z niewystarczającymi zabezpieczeniami,embraced #crypto customers with insufficient safeguards [sound:sapi5js-8912fc50-738646dd-34b9ba4b-d7353601-0026f2f3.mp3]
podjeżdżając do portu,pulling up to the port [sound:sapi5js-f7a3141b-a319758f-ac7c8955-904b59fa-c37c3495.mp3]
Jęknęłam w duchu,I groaned inwardly [sound:sapi5js-5c7b7d4b-09ab4652-a3e84f12-872cf15e-da9620dd.mp3]
taki powiew,such a breeze [sound:sapi5js-7f7390ff-58a80839-cca2f732-bf5d9851-0012c559.mp3]
zgaga,heartburn [sound:sapi5js-5dd331a2-20dd8f6d-8d095634-a3d716db-30cdc107.mp3]
"bezczelny<div><img src=""paste-2907ffc52a12d17853d803a8b87721a7672eb032.jpg""><br></div>",insolent [sound:sapi5js-6870c039-81aa1913-30a86e42-686c5dac-9aad84ba.mp3]
"sądzony za morderstwo<div><img src=""image-ab99502e1edbd516e24f2c2bf8143c3d30c45e72.jpg""><br></div>",tried for murder [sound:sapi5js-4b616b4f-ad5d07ed-a2878fb6-e2f7ee46-b9fa45a4.mp3]
w której,wherein [sound:sapi5js-5b2cd68a-876ffb24-68ffc12f-4e7e03e3-5c76741c.mp3]
nie poszedłeś na łatwiznę,you didn&#x27;t go to failure [sound:sapi5js-52c73e90-3fd1e240-b8a9ebe7-fe4cb360-9e829804.mp3]
przybliżony zakres,ballpark [sound:sapi5js-c7260db6-51dfb291-e80e7c66-8d8379fc-29b33e44.mp3]
lekceważenie,disregard [sound:sapi5js-5999aaa3-021b1ec8-12c6e8ad-26af7db7-dd34bd0a.mp3]
przechytrzyć,outbite [sound:sapi5js-fff63fae-2b57534f-7bd285df-477b6618-69a5854a.mp3]
fretka,ferret [sound:sapi5js-a6a798db-17691372-f1d54c97-984d6350-799229d7.mp3]
łasica,weasel [sound:sapi5js-d89b904e-cc42383e-334b71dd-8adc82cc-b56f9d80.mp3]
rukola,arugula [sound:sapi5js-57316700-1e5af397-5b3ece7c-94bdc365-c06dde6a.mp3]
rzekomy odwet,alleging retaliation [sound:sapi5js-16648994-16a9fb6d-2cac56eb-0c830866-5fe67e15.mp3]
"pokonać przeciwności losu<div><img src=""paste-2392297cad37433cbb206f517c047af4a46c1eb9.jpg""><br></div>",overcome adversity [sound:sapi5js-5bc3e7be-1d2b1064-ef7aaf5a-99cca938-fe1f4662.mp3]
zesrałem się,I crapped out [sound:sapi5js-591fe0d8-1fee8b12-feda5225-f3754d58-39a47484.mp3]
"przeczucie i cos ze spinem<div><img src=""paste-a12bf0a71cc13f768653c9b9c93dc32b620b92a6.jpg""><br></div><div><img src=""paste-8fc350a8315a3b33f18d8c93617afa60930d9a97.jpg""><br></div>",hunch [sound:sapi5js-778d5eb1-a18bba25-a96b33ec-4a70ceb4-42ed43a1.mp3]
"<img src=""image-578269a3f8bde281aae146281c571bd36c8da6cd.jpg"">",strand [sound:sapi5js-a9d8261e-6b628664-3ce9ad00-dda246e1-a43debff.mp3]
"list pożegnalny<div><img src=""image-f0e4272ede861ad74ace4ae14fa12e3f2dd9e4a0.jpg""><br></div>",farewell letter [sound:sapi5js-f57578a3-02325c4d-e9077970-cfa2ae7f-3eda7190.mp3]
"podtrzymać pogląd Lansky&#x27;ego jako króla wszelkiego zła, mózgu, tajnego inicjatora, inspiratora i kontrolera amerykańskiej przestępczości zorganizowanej","to sustain the notion of Lansky as king of all evil, the brains, the secret mover, the inspirer and controller of American organized crime [sound:sapi5js-61986167-b9b4de3e-3c45569e-87d1dfe7-4b219c8b.mp3]"
"niemożność opłacenia opieki zdrowotnej dla niepełnosprawnego syna,","his inability to pay for health care for his handicapped son, [sound:sapi5js-60f111e1-29a72c11-887a6062-b95e5db8-459ba36f.mp3]"
nie do zranienia,invulnerable [sound:sapi5js-6be4e51e-78d787be-1e5e9e70-b1c098ca-cbfd5128.mp3]
niewrażliwy,invulnerable [sound:sapi5js-6be4e51e-78d787be-1e5e9e70-b1c098ca-cbfd5128.mp3]
popis kaskaderski,stunt [sound:sapi5js-49500191-2bab6351-07e4bf68-8e5fa859-d04afa06.mp3]
szeroki,broad [sound:sapi5js-6e6cdc1d-5c2dacb9-bb0023d4-93821dc0-e685b2ac.mp3]
skamieniałości,fossils [sound:sapi5js-5cd32e9e-3dce681f-d4f3f800-f830e431-940f383d.mp3]
masy lądowe,land masses [sound:sapi5js-57dede04-484a10d9-a114a6b9-bcae0c49-8f714ead.mp3]
okazać się,turn out [sound:sapi5js-d4fad32c-23fe3cfd-7e6de7fb-361d6cf6-8b73609a.mp3]
odciąć,prune away [sound:sapi5js-f37e7527-4a4ae30b-d7e46c5e-674ce6c7-8080430d.mp3]
powtórzenia w odstępach,spaced repetition [sound:sapi5js-0877cea8-09386df8-d16179f3-3c41f921-0c96c8e6.mp3]
"istotnie<div><br><div>substantially Larger<br></div><div>Wydatnie considerably<br><div><img src=""image-bfd02d678e21723ecb9e919ab323bbb022a2d9c7.jpg""><br></div></div></div>",substantially [sound:sapi5js-87d75e10-20cf30f1-ef6d2674-4a8d2101-26c83565.mp3]<div><br></div>
"zachować<div><h1><span style=""font-weight: normal;"">13 strategies to grow and </span>retain &nbsp;</h1></div><div><h1><span style=""font-weight: normal;"">great employees</span></h1></div>",retain [sound:sapi5js-b2bcf0cb-9107ba73-2364a708-ef269abe-0e2448d4.mp3]
"rozpraszanie<div><img src=""image-0eed803efe49dfb41bf6edffff416e4a6202c474.jpg""><br></div><div><img src=""image-8826d0779ba0e21e2f7784054f15661103e51cff.jpg""><br></div>",dissipating [sound:sapi5js-9c09beca-155581bb-5b96d26f-d67beee8-159edca1.mp3]
nadążaj za rówieśnikami,keep up with your peers [sound:sapi5js-bd71191d-cf22f87b-60913de0-5352496d-e6e642f2.mp3]
Ten zmierzch,That twilight [sound:sapi5js-de9b5bc9-68a6368d-d43936b7-fed049cc-6952169a.mp3]
rozproszony,diffuse [sound:sapi5js-b7f7330a-38b2a3be-471ee4c6-d3b1568a-130e8f1e.mp3]
samotny spacer,solitary walk [sound:sapi5js-4d4e0da3-4a9e3be4-efedcb04-14e40ba9-012c6935.mp3]
Najpierw przemykam &nbsp;raczej przegladam,I skim first [sound:sapi5js-0c52dc2c-f881301c-a71d9da1-249f2eca-e1a3fcdb.mp3]
ośmiornica,the octopus [sound:sapi5js-78b0bb37-eaa65ca9-1dd1b1e0-06b5def0-486c71c6.mp3]
Myślenie skupione a rozproszone,Focused &nbsp;Diffuse Thinking [sound:sapi5js-71e7c791-54964801-107b0a85-f22ea96f-2272ca6b.mp3]
musimy tylko opanować żargon i kulturę,we just need to master the lingo and culture [sound:sapi5js-2557d4a7-53873595-1ef9bdba-207928c8-45408407.mp3]
kazano mi się zapisać,I was made to enroll [sound:sapi5js-2170f39f-8fa82f3c-8134ed6e-f27ccd9c-ef9ddcb4.mp3]
sfałszowaliśmy dane,we fudged the data [sound:sapi5js-73905866-523f67e8-aff442e2-076aac23-572e2544.mp3]
zła macocha,wicked stepmather [sound:sapi5js-67c19711-e026dcc6-09b3c443-2c44211c-bcf3f9d7.mp3]
z góry przyjęte pomysły,preconceived ideas [sound:sapi5js-52829a30-29c4d051-5018b2b6-4b5be78f-5db6abff.mp3]
zuk,beetle [sound:sapi5js-2bbfd9f4-482923ca-414f0eba-f8c43efc-02add184.mp3]
"związki<div><img src=""image-86b9101c9f6ef66e27553f258631b86074f91975.jpg""><br></div>",compounds [sound:sapi5js-5669c8a4-9010ed0e-a3302138-2ed5d287-dc59ebd0.mp3]
skojarzenie,association [sound:sapi5js-03d2738c-540b5919-798194ff-c831f388-91131a5d.mp3]
zaangażowany,committed [sound:sapi5js-d2d085df-27ecc3e8-08d8586d-09f3a70f-f5b46f4b.mp3]
sikać,peed [sound:sapi5js-7fc04e9c-5349d568-5e284409-d271f47c-ddf3209b.mp3]
zwinny,limber [sound:sapi5js-49fb1f2b-43a1ed0d-dbd83cdd-7b8648cf-55c5dad3.mp3]
został zamówiony przez tymczasowy rząd Hiszpanii na sugestię Goi.,it was commissioned by the provisional government of Spain at Goya&#x27;s suggestion. [sound:sapi5js-2b78c1ab-fa4e0d12-001ebb44-dae56546-8c4ab158.mp3]
"zaślepienie<div><img src=""image-1af7196013c3400500c80b282dc97e2dbb62ac3e.jpg""></div><div>LOVE vs INFATUATION<br></div>",infatuation [sound:sapi5js-b64411d0-9a5b757b-a469b5fa-9e0fea1a-dd0b9013.mp3]
Fox złożył wniosek o oddalenie rozwodu,Fox filed to dismiss the divorc [sound:sapi5js-8e679a69-d9ae4c7f-8975f679-37431e94-8417f4e7.mp3]
"zacznij masować<div><img src=""image-2c662d3123b8398a096d4d5d0a9d092055e50b3e.jpg""><br></div>",start bulking [sound:sapi5js-ac8caaf3-931565bb-28c8312d-38602f88-3f6dd782.mp3]
szanse,odds [sound:sapi5js-c01009e5-fa6972b8-f1af7cf6-a8ccbfb4-c1079a36.mp3]
Cierpi na zaparcia i prosi o środek przeczyszczający,He suffers from constipation and asks for a laxative [sound:sapi5js-243a1e2a-4e5f066a-b3265aab-c813e3b5-47b5d904.mp3]
"Dni zamieniły się w ciężkie brzemię, na którego noszenie jestem skazany",The days have turned into heavy burdens that I am sentenced to carry [sound:sapi5js-4e572a05-ea0a745b-39694b3c-ee0cd3df-b2010671.mp3]
"przyprawiało mnie o mdłości<div><img src=""image-6b95f282ce20b4f6c82692454c768018a6a3b66f.jpg""><br></div>",nauseated me [sound:sapi5js-af955135-07edef14-dae62b10-06fde7ee-482c648b.mp3]
"kompleks bagien, które leżą okrakiem",complex of marshes that straddle [sound:sapi5js-81e00d68-1f9c7f34-a79f48c9-47563843-a30f8d7f.mp3]
"przesłuchujący<div><img src=""paste-8210cff7b8d86031b262ee99b88fc7dea9423863.jpg""><br></div>",interrogator [sound:sapi5js-2097ca2b-423cd1e2-b2efdba5-0f505ec6-afa2903e.mp3]
"Zabrudziłeś samochód<div><img src=""paste-f49adca310230af77e3a51cca1c35faecc3e5e69.jpg""><br></div>",You stained the car [sound:sapi5js-c80a0446-10e1593d-6a86cd48-4853fedb-48a495f8.mp3]
jęk,groan [sound:sapi5js-af3a9abb-02be7774-9ea2e69f-2412cbeb-9519065f.mp3]
przekazywać,convey [sound:sapi5js-bb96353d-d565d015-a64b3ad0-c8f9ed83-f0bd197f.mp3]
pozornie wystawiony,seemingly put out [sound:sapi5js-5adefaa8-3791a400-aecfbe74-f98fba0e-0cdf2215.mp3]
Poprzez intymne anegdoty,Through its intimate anecdotes [sound:sapi5js-78d60f58-f6962e33-27a457f0-86baf657-58bdf273.mp3]
"i na kogo są nakładane, i kiedy","and on whom they are inflicted, and when [sound:sapi5js-62aa5cf0-10461f96-6c876d7e-2bc28cb3-8cf64d0b.mp3]"
przesłuchujący,interrogators [sound:sapi5js-0449ea6b-be891bda-5c38a68d-cf56337e-ad589e3c.mp3]
obok kilku współczesnych,alongside several contemporaries [sound:sapi5js-bf7fc728-7ac8bc5b-1c369b47-3626472b-5ab37d9a.mp3]
miasto,municipality [sound:sapi5js-1b1df6b7-6194d1a6-b9c6f323-6e231cd9-4dfffc2d.mp3]
widz,bystander [sound:sapi5js-87757982-6827e8ef-6ab28ddd-5a0ded28-fa63d738.mp3]
"nie uważaj tych, którzy zostali zabici na drodze Boga, za umarłych",reckon not thou those slain in the way of god to be dead [sound:sapi5js-26277c60-ab84def5-00614b0e-8688def8-2a43adf9.mp3]
wyczerpujący,comprehesive [sound:sapi5js-725142bd-75994d62-0c56f861-c847d83a-336114cd.mp3]
zmarł od upadku,deceased from the fall [sound:sapi5js-bc34780d-7a94efcc-12e8f9d2-49924581-9a0de6dc.mp3]
pojawiłem się,i have appeared [sound:sapi5js-3b185f56-9876019a-79ba1b32-d520ddef-e5252d55.mp3]
najszczersza szczerość,utmost sincerity [sound:sapi5js-11b87b57-92933d24-b87aff53-6f920661-476a4634.mp3]
"nikczemny<div><img src=""image-da89651fb88e41fc5c3f96f9cc2a2cde15763f2a.jpg""><br></div><div><img src=""image-f05ce99c4af4100aa6a5053635a4ed0ca9c65387.jpg""><br></div>",nefarious [sound:sapi5js-236414a3-a0592874-eb5cf974-a7ed4c5d-9aa6e2d4.mp3]
rozkaz,behest [sound:sapi5js-9c82adda-7b85acb5-226d24f1-5311a24b-2e23d8d0.mp3]
pojawia się,appears [sound:sapi5js-d865079c-634e0a3a-e690699a-2ce58d85-701a5a83.mp3]
odwołanie,appeal [sound:sapi5js-0ac1f89c-2562b3b5-1c10da11-999870ca-8222c9de.mp3]
